activation,beta_1,beta_2,commit_hash,dataset,dimensions,dirname,dropout_rate,embeddings_path,epsilon,es__best_epoch,es__best_val_f1,filters,finetune,kernel_sizes,lr,pooling,total_epochs,vocab_size,weight_decay,loss,precision,recall,f1,aupr,val_loss,val_precision,val_recall,val_f1,val_aupr
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020252_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,97,0.672672662733,5,False,"[1, 2]",0.001,max,99,2063,0.001,6.26985883713,0.826852560043,0.715555548668,0.767188572114,0.868146654697,1.20325899124,0.708860754967,0.639999985695,0.672672662733,0.719057390547
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020308_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,33,0.67499999213,10,False,"[1, 2]",0.001,max,58,2063,0.001,6.67583560944,0.823269486427,0.709841251373,0.762359336549,0.848461100175,1.27948248386,0.744827568531,0.617142856121,0.67499999213,0.749497894913
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020322_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,17,0.682779425645,5,False,"[1, 2, 3]",0.001,max,42,2063,0.001,7.74720287323,0.79418694973,0.641904771328,0.709971941265,0.808504614058,1.36980736256,0.724358975887,0.64571428299,0.682779425645,0.739661344358
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020335_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,7,0.674846639034,5,False,"[1, 2, 3, 4]",0.001,max,32,2063,0.001,8.79238605499,0.759259283543,0.572698414326,0.652913509855,0.75234351742,1.45630776882,0.728476822376,0.62857145071,0.674846639034,0.721423898366
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020401_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,71,0.679127767097,20,False,"[1, 2]",0.001,max,96,2063,0.001,4.68093299866,0.891949176788,0.801904737949,0.844533628104,0.927702473016,1.17789959908,0.74657535553,0.622857153416,0.679127767097,0.766772177524
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020415_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,15,0.662650606052,10,False,"[1, 2, 3]",0.001,max,40,2063,0.001,7.04569768906,0.824167311192,0.67555552721,0.742498237894,0.838743262496,1.37563431263,0.700636923313,0.62857145071,0.662650606052,0.733609535883
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020436_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,51,0.678571452076,25,False,"[1, 2]",0.001,max,76,2063,0.001,4.8551440239,0.874226808548,0.807619035244,0.839603925994,0.919040755429,1.22699332237,0.708074510098,0.651428580284,0.678571452076,0.740221824101
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020501_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,33,0.699999960721,5,False,"[1, 2, 3, 4, 5]",0.001,max,58,2063,0.001,5.20919704437,0.867657482624,0.778412699699,0.820615774783,0.915016333964,1.07864558697,0.772413790226,0.639999985695,0.699999960721,0.780410504036
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020519_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,21,0.691131507755,10,False,"[1, 2, 3, 4]",0.001,max,46,2063,0.001,5.80423355103,0.856410264969,0.742222249508,0.795238084939,0.891586562655,1.21502113342,0.743421077728,0.64571428299,0.691131507755,0.771056268894
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020544_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,50,0.700906306073,20,False,"[1, 2, 3]",0.001,max,75,2063,0.001,4.12492227554,0.904432117939,0.829206347466,0.865187110494,0.944803262059,1.19895100594,0.743589758873,0.662857115269,0.700906306073,0.763253942976
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020612_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,69,0.695906461174,50,False,"[1, 2]",0.001,max,94,2063,0.001,3.89598584175,0.908115386963,0.859682559967,0.883235509992,0.95118802826,1.33736729622,0.712574839592,0.680000007153,0.695906461174,0.730182598683
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020629_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,23,0.683544343738,25,False,"[1, 2, 3]",0.001,max,48,2063,0.001,5.38369035721,0.870503604412,0.768253982067,0.816188881151,0.907016132273,1.22708141804,0.765957474709,0.617142856121,0.683544343738,0.762712197111
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020649_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,18,0.693251498636,10,False,"[1, 2, 3, 4, 5]",0.001,max,43,2063,0.001,5.70785236359,0.869694709778,0.741587281227,0.8005483074,0.895830734644,1.12073469162,0.748344361782,0.64571428299,0.693251498636,0.774713491662
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020703_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.697947177171,20,False,"[1, 2, 3, 4]",0.001,max,34,2063,0.001,6.84839820862,0.826452612877,0.686349213123,0.749913264822,0.847050793563,1.29498243332,0.716867446899,0.680000007153,0.697947177171,0.770902885299
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020721_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,42,0.702380959669,75,False,"[1, 2]",0.001,max,67,2063,0.001,4.46375799179,0.88987082243,0.831111133099,0.859487858272,0.93626067466,1.12831294537,0.732919275761,0.674285709858,0.702380959669,0.772833796524
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020736_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,11,0.697530851102,25,False,"[1, 2, 3, 4]",0.001,max,36,2063,0.001,6.36458683014,0.837959468365,0.709206342697,0.768225542141,0.869072065855,1.14991891384,0.758389234543,0.64571428299,0.697530851102,0.778320940117
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020758_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,47,0.692307726076,100,False,"[1, 2]",0.001,max,72,2063,0.001,3.99374175072,0.903573811054,0.850793659687,0.876389789853,0.949097297617,1.25753378868,0.717791438103,0.668571412563,0.692307726076,0.772805309782
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020817_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,25,0.692307726076,50,False,"[1, 2, 3]",0.001,max,50,2063,0.001,4.76915311813,0.880903482437,0.8171428442,0.847826076135,0.926365039198,1.17657327652,0.717791438103,0.668571412563,0.692307726076,0.780295323078
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020843_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,29,0.709876555472,20,False,"[1, 2, 3, 4, 5]",0.001,max,54,2063,0.001,4.35782337189,0.900069415569,0.823492050171,0.860079547407,0.940531696758,1.02683413029,0.771812081337,0.657142877579,0.709876555472,0.772661629459
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020902_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,13,0.697819274215,25,False,"[1, 2, 3, 4, 5]",0.001,max,38,2063,0.001,5.76389741898,0.865638792515,0.748571455479,0.802860087943,0.890889609905,1.13902628422,0.767123281956,0.639999985695,0.697819274215,0.78127352136
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020919_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,21,0.684848492139,75,False,"[1, 2, 3]",0.001,max,46,2063,0.001,4.78036499023,0.891012012959,0.799365103245,0.842704155071,0.928066819167,1.12398886681,0.729032278061,0.64571428299,0.684848492139,0.78846704098
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020935_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.686930070478,50,False,"[1, 2, 3, 4]",0.001,max,34,2063,0.001,6.04492282867,0.850446403027,0.7257142663,0.783144890506,0.882394766852,1.13143253326,0.733766257763,0.64571428299,0.686930070478,0.777187615545
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020947_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,5,0.68923076229,100,False,"[1, 2, 3]",0.001,max,30,2063,0.001,7.71585464478,0.783281743526,0.642539680004,0.705964425184,0.803499547021,1.29357039928,0.746666669846,0.639999985695,0.68923076229,0.747319216115
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_021003_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,11,0.688622754837,75,False,"[1, 2, 3, 4]",0.001,max,36,2063,0.001,5.80406475067,0.86206895113,0.746031761169,0.799863885116,0.89149919277,1.20068895817,0.72327041626,0.657142877579,0.688622754837,0.784444749714
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021104_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,18,0.652307670497,5,False,"[1, 2]",0.001,max,43,2081,0.001,8.32585048676,0.774299860001,0.596825420856,0.674076784018,0.773230661194,1.43876063824,0.706666648388,0.605714261532,0.652307670497,0.68863107702
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021118_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,28,0.653968213517,10,False,"[1, 2]",0.001,max,53,2081,0.001,6.78063678741,0.815225422382,0.700317442417,0.753415289078,0.843593233506,1.27311503887,0.735714256763,0.588571429253,0.653968213517,0.727287480377
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021132_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,15,0.677115957325,5,False,"[1, 2, 3]",0.001,max,40,2081,0.001,7.46291542053,0.794773280621,0.656507909298,0.719054237663,0.819017898113,1.26783585548,0.75,0.617142856121,0.677115957325,0.7427286901
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021149_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,19,0.670658640799,5,False,"[1, 2, 3, 4]",0.001,max,44,2081,0.001,6.4031047821,0.837349414825,0.706031739712,0.76610400422,0.862273711436,1.39820444584,0.704402506351,0.639999985695,0.670658640799,0.719649064363
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021216_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,78,0.664723054214,20,False,"[1, 2]",0.001,max,99,2081,0.001,4.23496627808,0.900067985058,0.840634942055,0.869336878324,0.943099370223,1.26024508476,0.678571403027,0.651428580284,0.664723054214,0.698571593766
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021239_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,45,0.674772059988,10,False,"[1, 2, 3]",0.001,max,70,2081,0.001,4.83203458786,0.885995805264,0.799365103245,0.84045396422,0.923466884764,1.18558120728,0.720779240131,0.6342856884,0.674772059988,0.707103475196
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021249_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.66463418948,25,False,"[1, 2]",0.001,max,34,2081,0.001,7.67631340027,0.795869767666,0.636190474033,0.707127745072,0.805404704196,1.28738808632,0.712418317795,0.622857153416,0.66463418948,0.724363564029
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021308_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,16,0.67515919258,5,False,"[1, 2, 3, 4, 5]",0.001,max,41,2081,0.001,6.28761005402,0.845752596855,0.720634937286,0.778196782482,0.870710381905,1.20666158199,0.762589931488,0.605714261532,0.67515919258,0.766132226882
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021322_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.668711643387,10,False,"[1, 2, 3, 4]",0.001,max,34,2081,0.001,7.49739980698,0.799357950687,0.632380962372,0.706132614779,0.810584800552,1.3128207922,0.721854329109,0.622857153416,0.668711643387,0.733387227352
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021336_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,15,0.688622754837,20,False,"[1, 2, 3]",0.001,max,40,2081,0.001,6.11687612534,0.842738926411,0.71111112833,0.771349882853,0.877030469008,1.14134836197,0.72327041626,0.657142877579,0.688622754837,0.76006513233
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021350_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,21,0.69253727951,50,False,"[1, 2]",0.001,max,46,2081,0.001,5.70615816116,0.859030842781,0.742857158184,0.796731399475,0.894668522331,1.14706814289,0.725000023842,0.662857115269,0.69253727951,0.754912821688
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021404_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,15,0.662538669462,25,False,"[1, 2, 3]",0.001,max,40,2081,0.001,6.19416093826,0.847148299217,0.707301616669,0.770934277742,0.872693354499,1.16423177719,0.722972989082,0.611428558826,0.662538669462,0.752202892023
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021419_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,6,0.698795170317,10,False,"[1, 2, 3, 4, 5]",0.001,max,31,2081,0.001,7.69984436035,0.795102059841,0.618412673473,0.695714277215,0.800616272093,1.27040433884,0.738853514194,0.662857115269,0.698795170317,0.754857560713
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021436_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,16,0.696696659207,20,False,"[1, 2, 3, 4]",0.001,max,41,2081,0.001,5.72131299973,0.871833086014,0.742857158184,0.802194014743,0.897468731667,1.19901275635,0.734177231789,0.662857115269,0.696696659207,0.758156548873
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021445_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,7,0.686390492411,75,False,"[1, 2]",0.001,max,32,2081,0.001,7.44729137421,0.802641808987,0.655873000622,0.721872809541,0.813605442041,1.24770379066,0.711656451225,0.662857115269,0.686390492411,0.734471035257
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021501_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,11,0.685714304447,25,False,"[1, 2, 3, 4]",0.001,max,36,2081,0.001,6.26555728912,0.854103326797,0.713650822639,0.777585620816,0.874707158627,1.22695577145,0.685714304447,0.685714304447,0.685714304447,0.772473967224
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021511_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.690909101998,100,False,"[1, 2]",0.001,max,34,2081,0.001,6.71902179718,0.827850043774,0.686984121799,0.75086745233,0.852132239361,1.20202565193,0.735483884811,0.651428580284,0.690909101998,0.74986862438
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021523_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,5,0.685185142333,50,False,"[1, 2, 3]",0.001,max,30,2081,0.001,8.04304981232,0.783291995525,0.601269841194,0.68031612824,0.780300771865,1.3058797121,0.744966447353,0.6342856884,0.685185142333,0.734051631527
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021540_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,10,0.694362032807,20,False,"[1, 2, 3, 4, 5]",0.001,max,35,2081,0.001,6.17416238785,0.850566029549,0.715555548668,0.777241371829,0.876864788786,1.16240239143,0.722222208977,0.668571412563,0.694362032807,0.772456232582
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021557_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.690690736799,25,False,"[1, 2, 3, 4, 5]",0.001,max,34,2081,0.001,6.31880283356,0.842419743538,0.716190457344,0.774193548918,0.86949910458,1.21284282207,0.727848112583,0.657142877579,0.690690736799,0.768695815456
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021615_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,27,0.696428583314,75,False,"[1, 2, 3]",0.001,max,52,2081,0.001,4.46598434448,0.904285728931,0.803809523582,0.851092413635,0.936671912925,1.0874402523,0.726708054543,0.668571412563,0.696428583314,0.751561611273
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021631_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.68923076229,50,False,"[1, 2, 3, 4]",0.001,max,34,2081,0.001,6.25364971161,0.839940190315,0.713015854359,0.771291179136,0.871769309145,1.2018815279,0.746666669846,0.639999985695,0.68923076229,0.758087535028
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021645_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,10,0.69208211421,100,False,"[1, 2, 3]",0.001,max,35,2081,0.001,5.99644756317,0.847667634487,0.738412678242,0.789277217827,0.880988333924,1.26405656338,0.710843384266,0.674285709858,0.69208211421,0.742500887528
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021701_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,10,0.683076912129,75,False,"[1, 2, 3, 4]",0.001,max,35,2081,0.001,5.8085436821,0.854361951351,0.75238096714,0.800135090304,0.889094663355,1.16822147369,0.740000009537,0.6342856884,0.683076912129,0.768655157784
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,2.twitter.biased,200,data/results/20171217_021804_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,29,0.687861288788,5,False,"[1, 2]",0.001,max,54,1783,0.001,7.45323228836,0.807283759117,0.67555552721,0.735568565799,0.813412819818,1.1187684536,0.695906460285,0.680000007153,0.687861288788,0.71239850259
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,2.twitter.biased,200,data/results/20171217_021815_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,18,0.689655188438,10,False,"[1, 2]",0.001,max,43,1783,0.001,7.09154939651,0.824773430824,0.69333332777,0.753363262056,0.840921095819,1.04471838474,0.763888895512,0.62857145071,0.689655188438,0.75457476849
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,2.twitter.biased,200,data/results/20171217_021828_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,15,0.67226892712,5,False,"[1, 2, 3]",0.001,max,40,1783,0.001,8.45952606201,0.776954710484,0.599365055561,0.676702485434,0.775927681629,1.24992418289,0.659340679646,0.685714304447,0.67226892712,0.705112422542
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,2.twitter.biased,200,data/results/20171217_021845_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,26,0.686746984383,5,False,"[1, 2, 3, 4]",0.001,max,51,1783,0.001,6.1798915863,0.862583994865,0.733333349228,0.792724776488,0.884127854652,1.05497765541,0.726114630699,0.651428580284,0.686746984383,0.739976999489
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,2.twitter.biased,200,data/results/20171217_021902_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,40,0.664723054214,20,False,"[1, 2]",0.001,max,65,1783,0.001,5.65244817734,0.849650323391,0.771428585052,0.808652212115,0.894217764332,1.08094394207,0.678571403027,0.651428580284,0.664723054214,0.720768875551
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,2.twitter.biased,200,data/results/20171217_021916_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,22,0.708708748217,10,False,"[1, 2, 3]",0.001,max,47,1783,0.001,6.33928871155,0.828181147575,0.731428563595,0.776803793897,0.869986585102,1.02451181412,0.7468354702,0.674285709858,0.708708748217,0.757934163491
